channel,laser,autolevel,t_ms,tp,tp_err,tp_rms_err,pd_flux_ph_s,pd_flux_err_ph_s,laser_flux_ph_s,laser_flux_err_ph_s,pd_route_tx,laser_route_tx,atten_tx,pd_raw,pd_mv,pd_net_mv,pd_mean_net_mv,pd_mean_net_err_mv,laser_current_ma,atten_db,wavelength_nm,pd_ontime_s,laser_current_ontime_s,flags
yj_m,,False,1789176901958,0.00020664234268527612,3.4634326451260624e-05,3.4634326451260624e-05,253380311.35700366,42467851.96984614,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,2104,131.5,133.19875,910.6787499999997,152.6344732152193,250.0,52.645296980749606,1028.01,376,6,()
yj_m,,False,1789176902065,0.00011968863312022044,2.4728500253423e-05,2.4728500253423e-05,146759578.563646,30321545.00467979,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,2155,134.6875,136.38625,527.4712499999997,108.9792121378545,250.0,52.645296980749606,1028.01,376,6,()
yj_m,,False,1789176902171,1.8324869018499274e-05,3.1039845901922943e-06,3.1039845901922943e-06,68137369.6535515,11541547.457029553,3718300501071.284,0.0,1.0,1.0,1.6491540981661725e-05,2085,130.3125,132.01125,244.89374999999984,41.48168401460457,250.0,47.82738761665105,1028.01,376,6,()
yj_m,,False,1789176902279,4.554996094622091e-06,5.701460446274891e-07,5.701460446274892e-07,50974605.60963727,6380459.864519849,11190921913154.004,0.0,1.0,1.0,4.963438197105989e-05,7856,491.0,492.69875,183.20874999999995,22.93212595219859,250.0,43.04217381424828,1028.01,376,6,()
yj_m,,False,1789176902386,2.911876747990153e-06,6.116134520054504e-07,6.116134520054504e-07,98659461.17689419,20722530.122556556,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,21968,1373.0,1374.69875,354.59374999999994,74.47921950911879,250.0,38.231174960409206,1028.01,376,6,()
yj_m,,False,1789176902494,6.417687048515632e-06,1.2053252568338233e-06,1.2053252568338233e-06,217442426.6567981,40838521.22663014,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,781.5137499999997,146.7784661852259,250.0,38.231174960409206,1028.01,376,6,()
yj_m,,False,1789176902601,9.572830094384058e-06,1.3008081931612353e-06,1.3008081931612351e-06,324344174.14877546,44073649.58711183,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,1165.7312499999998,158.40589941251397,250.0,38.231174960409206,1028.01,376,7,()
yj_m,,False,1789176902707,1.2722430129962846e-05,1.067748059537308e-06,1.0677480595373083e-06,431058114.7877152,36177165.9117563,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,1549.2737500000005,130.02500492092858,250.0,38.231174960409206,1028.01,376,7,()
yj_m,,False,1789176902813,4.641967626896071e-05,1.8188533010107736e-06,1.8188533010107734e-06,519478972.3598273,20354645.26309396,11190921913154.004,0.0,1.0,1.0,4.963438197105989e-05,32767,2047.9375,2049.63625,1867.0687500000008,73.15699789621974,250.0,43.04217381424828,1028.01,376,7,()
yj_m,,False,1789176902921,0.0001475798515247496,3.0120755579590506e-06,3.0120755579590506e-06,548746235.8725021,11199802.056423705,3718300501071.284,0.0,1.0,1.0,1.6491540981661725e-05,22254,1390.875,1392.57375,1972.2587500000009,40.25341070254172,250.0,47.82738761665105,1028.01,377,7,()
yj_m,,False,1789176903028,0.00039212275183278506,2.314526369614353e-05,2.3145263696143527e-05,480812323.6430748,28380215.039957866,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,9333,583.3125,585.01125,1728.0962500000005,102.00184307495377,250.0,52.645296980749606,1028.01,377,7,()
yj_m,,False,1789176903136,0.00029583906006998723,3.4110907955942477e-05,3.4110907955942477e-05,362751371.1759607,41826047.68331752,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,1876,117.25,118.94875,1303.7712499999998,150.32775284586504,250.0,52.645296980749606,1028.01,377,7,()
yj_m,,False,1789176903243,0.0002086930440681932,3.4623020910333154e-05,3.462302091033315e-05,255894836.44489983,42453989.363358825,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,2127,132.9375,134.63625,919.7162499999997,152.584649371054,250.0,52.645296980749606,1028.01,377,7,()
yj_m,,False,1789176903349,0.00012192993911300198,2.4971841532714124e-05,2.4971841532714127e-05,149507818.84643373,30619924.747725505,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,2216,138.5,140.19875,537.3487499999997,110.05162415742666,250.0,52.645296980749606,1028.01,377,7,()
yj_m,,False,1789176903455,1.6815030385946296e-05,2.674672562585166e-06,2.6746725625851666e-06,62523335.909592986,9945236.32966204,3718300501071.284,0.0,1.0,1.0,1.6491540981661725e-05,2153,134.5625,136.26125,224.71624999999983,35.744353381862986,250.0,47.82738761665105,1028.01,377,7,()
yj_m,,False,1789176903563,4.564381623565004e-06,5.613847696692039e-07,5.613847696692039e-07,51079638.33115105,6282413.120602008,11190921913154.004,0.0,1.0,1.0,4.963438197105989e-05,7980,498.75,500.44875,183.58624999999995,22.579734380357536,250.0,43.04217381424828,1028.01,377,8,()
